departamento,municipio,nuestro_tiempo,fmln,n,pdc,vamos,pcn,gana,cd,coalicion_arena,leonardo_bonilla,impugnados,nulos,abstenciones,papeletas_faltantes,sobrantes,inutilizadas,coalicion_n_gana,arena,coalicion_arena_pcn,coalicion_pcn,jesus_segovia
chalatenango,la palma,NA,819,1129,16,NA,NA,11,NA,NA,NA,7,89,108,2,8073,8,2662,381,NA,694,NA
chalatenango,tejutla,NA,615,1130,22,NA,NA,101,NA,NA,NA,3,72,152,0,8192,375,3110,465,NA,1163,NA
chalatenango,la reina,NA,80,445,68,NA,NA,49,NA,NA,NA,9,60,104,3,6561,1,1898,198,NA,1024,NA
chalatenango,arcatao,NA,692,300,4,NA,NA,0,NA,NA,NA,0,17,31,0,1790,0,430,57,NA,179,NA
chalatenango,san ignacio,NA,754,617,11,NA,NA,11,NA,NA,NA,8,55,70,1,5023,341,2004,279,NA,626,NA
chalatenango,dulce nombre de maria,NA,96,457,16,NA,NA,4,NA,NA,NA,1,55,57,2,2964,1,924,313,NA,710,NA
chalatenango,citala,NA,68,471,11,NA,NA,5,NA,NA,NA,1,20,47,0,3620,0,1290,523,NA,244,NA
chalatenango,agua caliente,NA,55,347,34,NA,NA,10,NA,NA,NA,4,46,56,0,6386,1,975,195,NA,986,NA
chalatenango,concepcion quezaltepeque,NA,282,612,9,NA,NA,19,NA,NA,NA,2,39,54,0,4189,6,1515,576,NA,397,NA
chalatenango,nueva trinidad,NA,348,114,2,NA,NA,1,NA,NA,NA,0,1,5,0,720,0,168,12,NA,28,NA
chalatenango,las vueltas,NA,550,142,1,NA,NA,1,NA,NA,NA,0,6,28,0,1075,0,263,12,NA,23,NA
chalatenango,comalapa,NA,48,232,7,NA,NA,0,NA,NA,NA,1,26,26,3,2224,1,823,398,NA,411,NA
chalatenango,san rafael,NA,64,344,6,NA,NA,14,NA,NA,NA,1,43,21,1,3038,2,990,409,NA,666,NA
chalatenango,las flores,NA,714,52,1,NA,NA,0,NA,NA,NA,0,4,10,0,434,0,180,3,NA,2,NA
chalatenango,ojos de agua,NA,81,106,3,NA,NA,13,NA,NA,NA,1,19,50,0,2054,0,857,153,NA,162,NA
chalatenango,nombre de jesus,NA,734,274,4,NA,NA,15,NA,NA,NA,1,21,57,0,2460,0,866,222,NA,246,NA
chalatenango,potonico,NA,27,163,2,NA,NA,0,NA,NA,NA,0,16,33,0,785,1,485,450,NA,138,NA
chalatenango,san francisco morazan,NA,637,189,2,NA,NA,12,NA,NA,NA,1,23,20,2,1521,0,643,35,NA,415,NA
chalatenango,santa rita,NA,114,557,5,NA,NA,4,NA,NA,NA,1,26,58,0,2909,1,873,582,NA,471,NA
chalatenango,la laguna,NA,149,123,5,NA,NA,1,NA,NA,NA,2,29,45,0,1871,307,835,319,NA,514,NA
chalatenango,san isidro labrador,NA,212,31,1,NA,NA,3,NA,NA,NA,0,7,12,0,260,0,165,2,NA,6,NA
chalatenango,san antonio de la cruz,NA,96,132,4,NA,NA,1,NA,NA,NA,0,13,30,1,1419,1,301,541,NA,261,NA
chalatenango,el paraiso,NA,110,822,21,NA,NA,43,NA,NA,NA,7,39,96,1,5881,7,2766,247,NA,1160,NA
chalatenango,san miguel de mercedes,NA,26,98,9,NA,NA,1,NA,NA,NA,2,15,8,0,1144,1,426,75,NA,995,NA
chalatenango,san luis del carmen,NA,86,70,1,NA,NA,1,NA,NA,NA,1,21,22,1,630,0,196,99,NA,272,NA
chalatenango,san jose cancasque,NA,331,166,7,NA,NA,3,NA,NA,NA,0,7,21,0,883,0,554,66,NA,61,NA
chalatenango,san antonio los ranchos,NA,263,33,0,NA,NA,5,NA,NA,NA,0,5,28,0,635,2,378,18,NA,33,NA
chalatenango,el carrizal,NA,657,290,5,NA,NA,1,NA,NA,NA,0,13,53,0,1865,639,483,49,NA,145,NA
chalatenango,san fernando,NA,626,142,5,NA,NA,3,NA,NA,NA,0,30,104,1,933,1,508,251,NA,195,NA
chalatenango,azacualpa,NA,194,120,2,NA,NA,0,NA,NA,NA,0,8,14,2,452,4,358,51,NA,195,NA
chalatenango,san francisco lempa,NA,132,159,0,NA,NA,1,NA,NA,NA,0,5,16,0,704,0,176,53,NA,154,NA
